programmeTitle;programmeDescription
Computer Science;Bachelor's degree in Computer Science with a focus on software engineering.
Business Administration;Master's degree in Business Administration with specialization in management.
Electrical Engineering;Bachelor's degree in Electrical Engineering focused on circuit design and power systems.
Mathematics;Master's degree in Mathematics with an emphasis on applied mathematics.
Psychology;Bachelor's degree in Psychology with courses on human behavior and mental health.
Physics;PhD in Physics specializing in theoretical physics and quantum mechanics.
Mechanical Engineering;Bachelor's degree in Mechanical Engineering focusing on robotics and automation.
Law;Juris Doctorate (JD) in Law focusing on corporate and criminal law.
Economics;Master's degree in Economics with courses on macroeconomics and econometrics.
Nursing;Bachelor's degree in Nursing with an emphasis on clinical practice and healthcare systems.